height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 508
P.y = 18.637848, Pt.y = 0.000000, Q.y = 18.637848, Qt.y = 0.000000, R.y = 18.637848, Rt.y = 0.000000, S.y = 18.637848, St.y = 0.000000
P.y = 18.613859, Pt.y = 0.000000, Q.y = 18.613859, Qt.y = 0.000000, R.y = 18.613859, Rt.y = 0.000000, S.y = 18.613859, St.y = 0.000000
P.y = 18.589661, Pt.y = 0.000000, Q.y = 18.589661, Qt.y = 0.000000, R.y = 18.589661, Rt.y = 0.000000, S.y = 18.589661, St.y = 0.000000
P.y = 18.565252, Pt.y = 0.000000, Q.y = 18.565252, Qt.y = 0.000000, R.y = 18.565252, Rt.y = 0.000000, S.y = 18.565252, St.y = 0.000000
P.y = 18.540636, Pt.y = 0.000000, Q.y = 18.540636, Qt.y = 0.000000, R.y = 18.540636, Rt.y = 0.000000, S.y = 18.540636, St.y = 0.000000
P.y = 18.515810, Pt.y = 0.000000, Q.y = 18.515810, Qt.y = 0.000000, R.y = 18.515810, Rt.y = 0.000000, S.y = 18.515810, St.y = 0.000000
P.y = 18.490774, Pt.y = 0.000000, Q.y = 18.490774, Qt.y = 0.000000, R.y = 18.490774, Rt.y = 0.000000, S.y = 18.490774, St.y = 0.000000
P.y = 18.465528, Pt.y = 0.000000, Q.y = 18.465528, Qt.y = 0.000000, R.y = 18.465528, Rt.y = 0.000000, S.y = 18.465528, St.y = 0.000000
P.y = 18.440075, Pt.y = 0.000000, Q.y = 18.440075, Qt.y = 0.000000, R.y = 18.440075, Rt.y = 0.000000, S.y = 18.440075, St.y = 0.000000
P.y = 18.414412, Pt.y = 0.000000, Q.y = 18.414412, Qt.y = 0.000000, R.y = 18.414412, Rt.y = 0.000000, S.y = 18.414412, St.y = 0.000000
P.y = 18.388538, Pt.y = 0.000000, Q.y = 18.388538, Qt.y = 0.000000, R.y = 18.388538, Rt.y = 0.000000, S.y = 18.388538, St.y = 0.000000
P.y = 18.362455, Pt.y = 0.000000, Q.y = 18.362455, Qt.y = 0.000000, R.y = 18.362455, Rt.y = 0.000000, S.y = 18.362455, St.y = 0.000000
P.y = 18.336163, Pt.y = 0.000000, Q.y = 18.336163, Qt.y = 0.000000, R.y = 18.336163, Rt.y = 0.000000, S.y = 18.336163, St.y = 0.000000
